velocity,x_velocity,y_velocity,avg_pressure,avg_x,avg_y,forgery
22203.433517655238,11205.445544554455,16169.14191419142,623.2380952380952,161.67857142857142,233.29761904761904,1
22930.26429846866,11497.48322147651,16750.0,594.5411764705882,161.23529411764707,234.89411764705883,1
24527.287240196525,12736.133122028526,17482.56735340729,583.3111111111111,178.5888888888889,245.14444444444445,1
23457.56298187479,12059.068219633944,16648.086522462563,603.8414634146342,176.76829268292684,244.03658536585365,1
21381.860569602373,11249.260355029586,15363.905325443788,537.0860215053764,163.53763440860214,223.3548387096774,1
21050.979187103778,10991.214057507987,15370.607028753993,524.1585365853658,167.8170731707317,234.6829268292683,1
21570.75060049877,11937.106918238993,15052.672955974842,557.065934065934,166.85714285714286,210.4065934065934,1
16723.164290233013,9442.938659058487,11327.389443651926,561.1395348837209,153.9418604651163,184.6627906976744,1
20980.90094506305,11907.963446475196,13846.605744125327,584.236559139785,196.16129032258064,228.09677419354838,1
21185.873711119926,11910.201149425287,14329.022988505747,610.1785714285714,197.36904761904762,237.45238095238096,1
21550.881238990074,11362.780593772628,15560.463432295439,661.1368421052632,165.17894736842106,226.2,1
26415.822765911442,14715.288611544462,17872.854914196567,687.9484536082474,194.48453608247422,236.2164948453608,1
21744.655255066875,12300.957592339262,14632.010943912448,602.3052631578947,189.30526315789473,225.17894736842106,1
20135.904310151007,11559.65147453083,13396.782841823057,587.2549019607843,169.08823529411765,195.9607843137255,1
20122.413980294805,11714.651311580294,13272.552783109404,576.6944444444445,169.53703703703704,192.08333333333334,1
20900.404554353332,11767.98444588464,14402.46273493195,633.0693069306931,179.78217821782178,220.02970297029702,1
19166.698545646206,10506.147540983606,13011.27049180328,715.7787610619469,181.4867256637168,224.76106194690266,1
19770.06919257932,10103.815937149271,14393.939393939394,703.8290598290598,153.88888888888889,219.23076923076923,1
19658.30885605868,10403.113258185722,13852.925389157273,659.9416666666667,161.50833333333333,215.06666666666666,1
19522.096675658922,10705.121572684946,13425.763062597,726.1864406779661,175.364406779661,219.9322033898305,1
15003.392035988365,8248.283148441627,10435.81616481775,278.406015037594,117.3984962406015,148.53383458646616,0
15268.339243045913,8392.930327868853,10326.844262295082,325.2651515151515,124.11363636363636,152.71212121212122,0
16120.90434720148,7563.321071991592,12284.81345244351,242.57258064516128,116.0725806451613,188.53225806451613,0
15651.587796742471,7882.6951042171595,11371.303926320892,325.42537313432837,121.35820895522389,175.06716417910448,0
18083.848677295115,9653.082017320428,12424.350483953132,447.56115107913666,136.32374100719426,175.46043165467626,0
16529.478963651258,8698.751300728409,11582.206035379813,529.7903225806451,134.83064516129033,179.5241935483871,0
19287.108572618177,10422.703936109527,13270.393610952653,500.5769230769231,140.54615384615386,178.94615384615383,0
20273.047746516797,10824.235807860263,14042.03056768559,470.2313432835821,147.98507462686567,191.97761194029852,0
17466.738854108335,9541.160593792172,11751.686909581646,543.8090909090909,128.54545454545453,158.3272727272727,0
19167.189188947406,9690.018598884068,13760.074395536269,559.7739130434783,135.91304347826087,193.0,0
16938.754116555254,8773.618538324421,11495.54367201426,528.6637931034483,127.29310344827586,166.7844827586207,0
20067.903812038137,11451.935081148564,12757.802746566791,581.0,154.16806722689077,171.74789915966386,0
10190.614669609266,5537.26618705036,6926.043165467626,537.6720430107526,103.45161290322581,129.3978494623656,0
12502.575930925786,7427.336747759283,7886.363636363636,656.8461538461538,127.48901098901099,135.36813186813185,0
13089.689977773618,7290.945406125166,8918.44207723036,621.6282722513089,114.67015706806282,140.2670157068063,0
9296.381497017337,5254.237288135593,6141.756548536209,652.1953488372093,79.30232558139535,92.69767441860465,0
10808.490241416413,5598.162071846283,8064.745196324144,322.8292682926829,81.71951219512195,117.72560975609755,0
11722.621681272947,6504.392048081369,8449.838187702266,405.6375,87.93125,114.23125,0
10750.576410589523,5736.389684813754,7588.211215718379,521.6408839779006,77.42541436464089,102.41988950276243,0
11654.13019204794,6669.705760464152,7771.653543307087,497.64606741573033,90.41573033707866,105.35393258426966,0
14877.960253764073,9496.01737871108,9545.981173062997,657.624,104.912,105.464,1
16026.737347646007,10260.680666183925,10093.410572049239,676.5241935483871,114.2741935483871,112.41129032258064,1
18039.688749261233,11705.922865013774,11385.674931129477,699.349593495935,138.1869918699187,134.40650406504065,1
18547.56486836628,11410.581222056631,12355.439642324889,676.0782608695653,133.15652173913043,144.18260869565216,1
17445.12372211909,11417.721518987342,10815.752461322081,673.4508196721312,133.08196721311475,126.06557377049181,1
16138.58049708213,9359.267734553776,11340.96109839817,677.042372881356,103.98305084745763,126.0,1
17285.185985114374,10809.037900874635,10844.02332361516,712.1404958677685,122.56198347107438,122.95867768595042,1
16855.610481717446,10426.160337552743,11252.461322081575,677.9758064516129,119.56451612903226,129.04032258064515,1
17344.067715557987,10625.739644970414,11735.94674556213,719.957627118644,121.7457627118644,134.46610169491527,1
18315.20969373071,10708.554125662376,13125.662376987131,697.1864406779661,119.88135593220339,146.9406779661017,1
18585.557601952012,11943.745863666447,12088.682991396427,694.3076923076923,138.8230769230769,140.5076923076923,1
17371.67156756224,11669.107856191744,10301.597869507323,635.2977099236641,133.793893129771,118.1145038167939,1
16289.354774677142,10811.820652173914,9843.070652173914,496.04477611940297,118.76865671641791,108.1268656716418,1
17465.748460225892,11013.02460202605,11190.303907380609,579.4959349593496,123.73983739837398,125.73170731707317,1
15344.80515247392,9875.354107648725,9597.025495750708,654.6640625,108.9375,105.8671875,1
16305.237143596532,11101.26582278481,10104.07876230661,633.7096774193549,127.30645161290323,115.87096774193549,1
16525.472431155507,10739.619985925405,10091.484869809992,553.5433070866142,120.16535433070867,112.91338582677166,1
15789.329965516703,10995.896032831737,9164.158686730507,589.8139534883721,124.62015503875969,103.86046511627907,1
17561.9996638476,11233.566433566433,10913.286713286714,657.430894308943,130.60162601626016,126.8780487804878,1
15454.216464061456,10227.696404793609,9349.53395472703,584.9,118.16923076923077,108.02307692307693,1
9877.420602620597,6530.905077262693,5887.969094922737,440.48850574712645,68.01149425287356,61.31609195402299,0
9064.333467455996,5840.419657647709,5489.784649364991,506.01234567901236,65.29012345679013,61.370370370370374,0
9865.967421373602,6443.293630243397,5852.408078715692,479.0342857142857,71.09714285714286,64.57714285714286,0
11634.014395428372,7877.662479519388,6684.871654833424,444.07142857142856,85.85714285714286,72.85714285714286,0
13831.84596920464,8974.571259609698,8492.607924305144,648.203947368421,99.84210526315789,94.48026315789474,0
15281.24008933942,9156.782149148561,10416.911332941867,660.9078947368421,102.59210526315789,116.71052631578948,0
14262.218731708237,8640.771028037383,9545.56074766355,621.562091503268,96.68627450980392,106.81045751633987,0
15334.654034207408,9079.780755176615,10453.105968331303,677.5918367346939,101.421768707483,116.76190476190476,0
12271.393593747849,7795.7110609480815,7818.848758465011,565.6971830985915,97.28169014084507,97.57042253521126,0
10321.601375850627,6900.655572365104,6274.836106908724,585.8552631578947,90.02631578947368,81.86184210526316,0
12447.691668467627,8188.51087562744,7527.0496374790855,593.75,101.95833333333333,93.72222222222223,0
11603.26143098072,7764.3487858719645,6967.991169977925,592.1586206896552,97.02758620689656,87.07586206896552,0
8970.486789743876,5639.154160982264,5526.944065484311,663.4525862068965,71.26724137931035,69.84913793103448,0
10521.743483852892,6911.927330173776,6333.333333333333,657.3861386138614,86.63861386138613,79.38613861386139,0
7882.948626890961,5803.984575835476,4158.097686375321,662.9449152542373,76.53389830508475,54.83050847457627,0
