velocity,x_velocity,y_velocity,avg_pressure,avg_x,avg_y,pen_up,forgery
2.468347782641612,2.2074767674592897,2.683657055494582,1.831665672769464,2.3628360291145425,2.8394667021881563,0.014925373134328358,3.0
2.560082229173055,2.2734189304906502,2.7915099375257175,1.7284272064850628,2.3555622723976004,2.861100445957921,0.01865671641791045,3.0
2.761644985628508,2.553106313782568,2.9275319750547513,1.6880265372223149,2.6403181654235515,3.0,0.0373134328358209,3.0
2.6266334184676055,2.4002249299588216,2.7725867916854954,1.761885410408869,2.6104439229220775,2.984987685270973,0.007462686567164179,3.0
2.364655779407393,2.2173701600036715,2.534141900355686,1.521729681681205,2.3933414745884343,2.704734631476939,0.041044776119402986,3.0
2.3228947240251507,2.1591032569103765,2.535386262850041,1.47522246859435,2.4635629717723786,2.8582386532571875,0.0,3.0
2.3884958848308258,2.3726860448914358,2.476352728010985,1.5936083229374214,2.4478114334143637,2.529276274511722,0.033582089552238806,3.0
1.776674455518269,1.8095023772634267,1.7846475197968337,1.6082632865622752,2.2358840016802475,2.1804285951842552,0.014925373134328358,3.0
2.314050039791624,2.3661054434204103,2.2524119274966017,1.6913558784620577,2.928664466511191,2.7689913851420007,0.041044776119402986,3.0
2.339919972304943,2.3666107171724335,2.341986457694487,1.784683443791402,2.9484826086337668,2.8957668170166553,0.007462686567164179,3.0
2.385988141723285,2.243003051517703,2.570638522901663,1.9680081328212156,2.4202738504891803,2.743288683675976,0.05597014925373134,3.0
3.0,3.0,3.0,2.0644641207482346,2.9011505330973604,2.879019640804119,0.06343283582089553,3.0
2.4104446625342044,2.454843596353517,2.3982448192628634,1.7563588603392823,2.8161636179189653,2.729452660885368,0.05597014925373134,3.0
2.207401696503468,2.2874565338625503,2.168889467187944,1.702214503601748,2.484421526463617,2.3335248140521263,0.08208955223880597,3.0
2.2056990609305767,2.322455526568817,2.145822611109814,1.6642227789123722,2.491785933825969,2.280982468559897,0.1082089552238806,3.0
2.303890464764723,2.3344981584454203,2.3556226426787696,1.8670339025464637,2.659898902036217,2.65967656840649,0.07835820895522388,3.0
2.0850767252323967,2.0495751451584048,2.0973080964124136,2.1645849135420763,2.6878688953753094,2.7237900025295003,0.12313432835820895,3.0
2.16122907569805,1.95872859243845,2.3540400411569165,2.1215953215989534,2.2350147887769576,2.648850421853008,0.13805970149253732,3.0
2.147123629305954,2.0263099844925403,2.253585349967187,1.9637084349957754,2.3600425847892836,2.592423734141271,0.1492537313432836,3.0
2.129932077558753,2.094503519386498,2.174270472305601,2.202027012808631,2.587407497941503,2.658355376554388,0.1417910447761194,3.0
1.5596193168700307,1.5397489355921434,1.6191014939885546,0.5911166307633041,1.636242345234006,1.6908543610112907,0.19776119402985076,0.0
1.5930587171280595,1.572410296236929,1.5988677500937354,0.759694498671272,1.7464313722186637,1.7474732533095825,0.19402985074626866,0.0
